repository_full_name,title,number,review_decision,created_at,closed_at,merged_at,merged_by,author,additions,total_comments_count
pagopa/io-auth-n-identity-domain,[#IOPID-1764]  Add session-manager deploy pipeline,4,APPROVED,2024-04-19T15:19:48Z,2024-04-23T10:50:01Z,2024-04-23T10:50:01Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",213,1
pagopa/io-auth-n-identity-domain,[#IOPID-1764] Add deploy workspace and  build-workspace action,6,REVIEW_REQUIRED,2024-04-23T13:52:08Z,2024-04-23T13:55:29Z,2024-04-23T13:55:29Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",117,1
pagopa/io-auth-n-identity-domain,[#IOPID-1833]  zendesk token endpoint,34,APPROVED,2024-05-17T10:59:10Z,2024-05-22T08:31:07Z,2024-05-22T08:31:07Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}",820,27
pagopa/io-auth-n-identity-domain,[#IOPID-1867] Fix: client IP receivance,43,APPROVED,2024-05-22T11:19:06Z,2024-05-22T11:21:54Z,2024-05-22T11:21:54Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}",15,2
pagopa/io-auth-n-identity-domain,Version Packages,30,APPROVED,2024-05-15T14:30:10Z,2024-05-15T14:31:14Z,2024-05-15T14:31:13Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,[#IOPID-1764] fix workspace name,5,APPROVED,2024-04-23T10:57:03Z,2024-04-23T10:58:44Z,2024-04-23T10:58:44Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",1,1
pagopa/io-auth-n-identity-domain,Version Packages,48,APPROVED,2024-05-23T09:26:17Z,2024-05-23T09:30:41Z,2024-05-23T09:30:41Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,[#IOPID-1763]  Add `session-manager` app,1,APPROVED,2024-04-18T09:56:26Z,2024-04-19T07:22:38Z,2024-04-19T07:22:38Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",5754,14
pagopa/io-auth-n-identity-domain,[EC-272] Update GitHub self-hosted runner config,8,APPROVED,2024-04-23T15:06:25Z,2024-04-24T06:48:49Z,2024-04-24T06:48:49Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/7879858?u=39cd39edcfaf1dce8678b8b00441e162532a93af\u0026v=4"",""login"":""Krusty93"",""url"":""https://github.com/Krusty93""}",44,1
pagopa/io-auth-n-identity-domain,Version Packages,35,APPROVED,2024-05-17T12:40:22Z,2024-05-17T12:41:48Z,2024-05-17T12:41:48Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,[#IOPID-1785] added support for eslint,3,APPROVED,2024-04-19T09:46:14Z,2024-04-19T10:19:30Z,2024-04-19T10:19:30Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}",80,2
pagopa/io-auth-n-identity-domain,Version Packages,31,APPROVED,2024-05-15T15:22:20Z,2024-05-15T15:23:36Z,2024-05-15T15:23:36Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",8,0
pagopa/io-auth-n-identity-domain,[EC-276] Setup Managed Identities for workflows,20,REVIEW_REQUIRED,2024-05-07T10:41:34Z,2024-05-07T11:03:54Z,2024-05-07T11:03:54Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/7879858?u=39cd39edcfaf1dce8678b8b00441e162532a93af\u0026v=4"",""login"":""Krusty93"",""url"":""https://github.com/Krusty93""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/7879858?u=39cd39edcfaf1dce8678b8b00441e162532a93af\u0026v=4"",""login"":""Krusty93"",""url"":""https://github.com/Krusty93""}",21,1
pagopa/io-auth-n-identity-domain,[EC-296] Update CI/CD infra paths and templates,38,APPROVED,2024-05-20T08:44:57Z,2024-05-20T15:15:52Z,2024-05-20T15:15:52Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/7879858?u=39cd39edcfaf1dce8678b8b00441e162532a93af\u0026v=4"",""login"":""Krusty93"",""url"":""https://github.com/Krusty93""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/7879858?u=39cd39edcfaf1dce8678b8b00441e162532a93af\u0026v=4"",""login"":""Krusty93"",""url"":""https://github.com/Krusty93""}",48,4
pagopa/io-auth-n-identity-domain,fix: expressErrorMiddleware,36,APPROVED,2024-05-17T14:06:05Z,2024-05-17T14:11:34Z,2024-05-17T14:11:34Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",6,2
pagopa/io-auth-n-identity-domain,Version Packages,29,APPROVED,2024-05-15T09:56:10Z,2024-05-15T09:56:45Z,2024-05-15T09:56:45Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,[#IOPID-1832] pagopa user endpoint,55,APPROVED,2024-05-29T15:47:15Z,2024-06-04T09:34:12Z,2024-06-04T09:34:12Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}",643,9
pagopa/io-auth-n-identity-domain,[#IOPID-1831] fix: set basePath as partial,32,APPROVED,2024-05-15T16:19:46Z,2024-05-15T16:22:24Z,2024-05-15T16:22:24Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",6,2
pagopa/io-auth-n-identity-domain,[#IOPID-1817] Porting `test-login` endpoint,54,APPROVED,2024-05-29T14:59:11Z,2024-06-05T07:11:47Z,2024-06-05T07:11:47Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}",470,11
pagopa/io-auth-n-identity-domain,Version Packages,44,APPROVED,2024-05-22T11:22:35Z,2024-05-22T11:23:07Z,2024-05-22T11:23:07Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,Version Packages,33,APPROVED,2024-05-15T16:22:58Z,2024-05-15T16:24:03Z,2024-05-15T16:24:03Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,Version Packages,37,APPROVED,2024-05-17T14:14:04Z,2024-05-17T14:14:51Z,2024-05-17T14:14:51Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,[#IOPID-1764]  fix temptative 3,9,APPROVED,2024-04-23T15:15:53Z,2024-04-23T15:16:33Z,2024-04-23T15:16:33Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",1,1
pagopa/io-auth-n-identity-domain,Version Packages,49,APPROVED,2024-05-23T16:19:04Z,2024-05-23T16:19:49Z,2024-05-23T16:19:49Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,[#IOPID-1764] tentative 2,7,REVIEW_REQUIRED,2024-04-23T14:45:25Z,2024-04-23T14:45:58Z,2024-04-23T14:45:58Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",2,1
pagopa/io-auth-n-identity-domain,[#IOPID-1785]  fix eslint,2,REVIEW_REQUIRED,2024-04-19T08:13:00Z,2024-04-22T08:34:45Z,2024-04-22T08:34:45Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",380,1
pagopa/io-auth-n-identity-domain,Version Packages,56,APPROVED,2024-06-04T09:34:45Z,2024-06-04T09:35:56Z,2024-06-04T09:35:56Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,[#IOPID-1817] Changeset to release test-login,57,REVIEW_REQUIRED,2024-06-05T07:15:24Z,2024-06-05T07:15:44Z,2024-06-05T07:15:44Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}",5,1
pagopa/io-auth-n-identity-domain,"[#IOPID-1831, #IOPID-1840]  Expose getFIMSToken",21,APPROVED,2024-05-08T14:38:26Z,2024-05-15T15:21:48Z,2024-05-15T15:21:48Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",644,16
pagopa/io-auth-n-identity-domain,[#IOPID-1819] Porting `acs` endpint for SPID/CIE login,39,APPROVED,2024-05-20T10:52:44Z,2024-05-28T10:29:30Z,2024-05-28T10:29:30Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}",3294,11
pagopa/io-auth-n-identity-domain,[#IOPID-1876] Enable Application Insights,52,APPROVED,2024-05-27T10:20:58Z,2024-06-06T07:35:30Z,2024-06-06T07:35:30Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",282,7
pagopa/io-auth-n-identity-domain,[#IOPID-1797] First porting getSession,10,APPROVED,2024-04-23T16:47:30Z,2024-04-30T09:14:30Z,2024-04-30T09:14:30Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}",2551,25
pagopa/io-auth-n-identity-domain,[#IOPID-1866] delAssertionRef and delete installation repos and services,45,APPROVED,2024-05-22T14:01:34Z,2024-05-23T11:09:39Z,2024-05-23T11:09:39Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}",1878,22
pagopa/io-auth-n-identity-domain,Version Packages,75,APPROVED,2024-06-12T16:12:59Z,2024-06-12T16:14:13Z,2024-06-12T16:14:13Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,Version Packages,42,APPROVED,2024-05-22T08:34:40Z,2024-05-22T08:35:27Z,2024-05-22T08:35:27Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,[#IOPID-1816]  Expose `logout` endpoint,40,APPROVED,2024-05-20T15:39:56Z,2024-05-23T16:18:32Z,2024-05-23T16:18:32Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",478,19
pagopa/io-auth-n-identity-domain,[#IOPID-1820] fast login endpoint,22,APPROVED,2024-05-08T15:06:51Z,2024-05-15T14:29:34Z,2024-05-15T14:29:34Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}",2180,32
pagopa/io-auth-n-identity-domain,[#IOPID-1869] AuthLock service and LockedProfile repo,47,APPROVED,2024-05-22T16:39:07Z,2024-05-24T14:26:29Z,2024-05-24T14:26:29Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}",604,23
pagopa/io-auth-n-identity-domain,Fix cd pipeline,11,REVIEW_REQUIRED,2024-04-24T07:18:51Z,2024-04-24T07:19:26Z,2024-04-24T07:19:26Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",2,1
pagopa/io-auth-n-identity-domain,Version Packages,53,APPROVED,2024-05-28T10:30:02Z,2024-05-28T10:30:52Z,2024-05-28T10:30:52Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,fix: Try decode client ip from `x-client-ip` header,50,APPROVED,2024-05-24T09:25:51Z,2024-05-24T09:30:47Z,2024-05-24T09:30:47Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",20,3
pagopa/io-auth-n-identity-domain,[#IOPID-1830] bpd user endpoint,46,APPROVED,2024-05-22T15:10:08Z,2024-05-23T09:17:19Z,2024-05-23T09:17:19Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}",259,6
pagopa/io-auth-n-identity-domain,Version Packages,58,REVIEW_REQUIRED,2024-06-05T07:16:21Z,2024-06-05T07:16:33Z,2024-06-05T07:16:33Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,initial session-manager containerization with io-mock support,16,APPROVED,2024-05-03T09:59:00Z,2024-05-06T12:50:10Z,2024-05-06T12:50:10Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}",218,5
pagopa/io-auth-n-identity-domain,[#IOPID-1833] added changeset,41,APPROVED,2024-05-22T08:32:57Z,2024-05-22T08:34:09Z,2024-05-22T08:34:09Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/22002572?u=3480b2f1d3cd7f698357dc53c0016002ad954c98\u0026v=4"",""login"":""arcogabbo"",""url"":""https://github.com/arcogabbo""}",5,1
pagopa/io-auth-n-identity-domain,Version Packages,23,REVIEW_REQUIRED,2024-05-08T15:26:32Z,2024-05-08T15:27:28Z,2024-05-08T15:27:28Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/3668832?u=056a29756927a66a2f341eab20285ff647c20f32\u0026v=4"",""login"":""BurnedMarshal"",""url"":""https://github.com/BurnedMarshal""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",8,0
pagopa/io-auth-n-identity-domain,Version Packages,51,APPROVED,2024-05-24T09:31:25Z,2024-05-24T09:31:58Z,2024-05-24T09:31:58Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
pagopa/io-auth-n-identity-domain,[EC-274] Update variable values on GitHub repository,12,REVIEW_REQUIRED,2024-04-29T09:05:08Z,2024-04-29T09:05:40Z,2024-04-29T09:05:40Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/7879858?u=39cd39edcfaf1dce8678b8b00441e162532a93af\u0026v=4"",""login"":""Krusty93"",""url"":""https://github.com/Krusty93""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/7879858?u=39cd39edcfaf1dce8678b8b00441e162532a93af\u0026v=4"",""login"":""Krusty93"",""url"":""https://github.com/Krusty93""}",3,1
pagopa/io-auth-n-identity-domain,fix: Add clean and dependency-check scripts,14,APPROVED,2024-04-30T14:28:43Z,2024-05-06T08:53:55Z,2024-05-06T08:53:55Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/75862507?u=52615494586cdaf1b1c81b53cdb776de5e0cbd8a\u0026v=4"",""login"":""gquadrati"",""url"":""https://github.com/gquadrati""}",232,2
